n,p,lambda,rho,s,i,r,t,mu,newmu
100000,5e-05,2,3,99884,98,18,0.8642445526513507,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99884,98,18,0.865111855339989,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99883,99,18,0.8659829354793619,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99883,99,18,0.8668347242357503,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99883,99,18,0.8676901562289068,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99883,99,18,0.8685492627581164,5.003594169230388,5.898989898989899
100000,5e-05,2,3,99882,100,18,0.8694120755277454,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99882,100,18,0.8702488956114274,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99882,100,18,0.8710892317458812,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99881,101,18,0.8719331136024212,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99881,101,18,0.8727588774339654,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99881,101,18,0.873588064830317,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99881,101,18,0.8744207042974278,5.003664287217055,5.898989898989899
100000,5e-05,2,3,99880,102,18,0.8752568246987656,5.003664287217055,5.898989898989899
